year,month,state,rto,fuel_segment,fuel_type,fuel_filter,vehicle_category_filter,norms_filter,vehicle_class_filter,vehicle_count,scraped_at,source_url
2022,2,Chhattisgarh,All Vahan4 Running Office,NON_EV,DIESEL/HYBRID,ALL,ALL,CEV STAGE V,CONSTRUCTION EQUIPMENT VEHICLE,0,2026-07-17T15:55:43.696Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,2,Chhattisgarh,All Vahan4 Running Office,EV,ELECTRIC(BOV),ALL,ALL,CEV STAGE V,CONSTRUCTION EQUIPMENT VEHICLE,877,2026-07-17T15:55:43.696Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,2,Chhattisgarh,All Vahan4 Running Office,NON_EV,LPG ONLY,ALL,ALL,CEV STAGE V,CONSTRUCTION EQUIPMENT VEHICLE,3,2026-07-17T15:55:43.696Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,2,Chhattisgarh,All Vahan4 Running Office,NON_EV,NOT APPLICABLE,ALL,ALL,CEV STAGE V,CONSTRUCTION EQUIPMENT VEHICLE,655,2026-07-17T15:55:43.696Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,2,Chhattisgarh,All Vahan4 Running Office,NON_EV,PETROL,ALL,ALL,CEV STAGE V,CONSTRUCTION EQUIPMENT VEHICLE,30728,2026-07-17T15:55:43.696Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,2,Chhattisgarh,All Vahan4 Running Office,NON_EV,PETROL(E20)/CNG,ALL,ALL,CEV STAGE V,CONSTRUCTION EQUIPMENT VEHICLE,0,2026-07-17T15:55:43.696Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,2,Chhattisgarh,All Vahan4 Running Office,NON_EV,PETROL(E20)/HYBRID/CNG,ALL,ALL,CEV STAGE V,CONSTRUCTION EQUIPMENT VEHICLE,0,2026-07-17T15:55:43.696Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,2,Chhattisgarh,All Vahan4 Running Office,NON_EV,PETROL/CNG,ALL,ALL,CEV STAGE V,CONSTRUCTION EQUIPMENT VEHICLE,1,2026-07-17T15:55:43.696Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,2,Chhattisgarh,All Vahan4 Running Office,NON_EV,PETROL/HYBRID,ALL,ALL,CEV STAGE V,CONSTRUCTION EQUIPMENT VEHICLE,345,2026-07-17T15:55:43.696Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,2,Chhattisgarh,All Vahan4 Running Office,NON_EV,PETROL/LPG,ALL,ALL,CEV STAGE V,CONSTRUCTION EQUIPMENT VEHICLE,1,2026-07-17T15:55:43.696Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,2,Delhi,All Vahan4 Running Office,NON_EV,CNG ONLY,ALL,ALL,ALL,ALL,2788,2026-07-28T12:47:31.357Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,2,Delhi,All Vahan4 Running Office,NON_EV,DIESEL,ALL,ALL,ALL,ALL,1095,2026-07-28T12:47:31.358Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,2,Delhi,All Vahan4 Running Office,NON_EV,DIESEL/HYBRID,ALL,ALL,ALL,ALL,0,2026-07-28T12:47:31.358Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,2,Delhi,All Vahan4 Running Office,EV,ELECTRIC(BOV),ALL,ALL,ALL,ALL,4547,2026-07-28T12:47:31.358Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,2,Delhi,All Vahan4 Running Office,NON_EV,PETROL,ALL,ALL,ALL,ALL,30624,2026-07-28T12:47:31.358Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,2,Delhi,All Vahan4 Running Office,NON_EV,PETROL(E20)/CNG,ALL,ALL,ALL,ALL,0,2026-07-28T12:47:31.358Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,2,Delhi,All Vahan4 Running Office,NON_EV,PETROL(E20)/HYBRID/CNG,ALL,ALL,ALL,ALL,0,2026-07-28T12:47:31.358Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,2,Delhi,All Vahan4 Running Office,NON_EV,PETROL/CNG,ALL,ALL,ALL,ALL,3026,2026-07-28T12:47:31.358Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,2,Delhi,All Vahan4 Running Office,NON_EV,PETROL/HYBRID,ALL,ALL,ALL,ALL,587,2026-07-28T12:47:31.358Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,2,Delhi,All Vahan4 Running Office,NON_EV,PETROL/HYBRID/CNG,ALL,ALL,ALL,ALL,8,2026-07-28T12:47:31.358Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,2,Maharashtra,All Vahan4 Running Office,NON_EV,CNG ONLY,ALL,ALL,ALL,ALL,3724,2026-06-02T16:29:55.803Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,2,Maharashtra,All Vahan4 Running Office,NON_EV,DIESEL,ALL,ALL,ALL,ALL,22105,2026-06-02T16:29:55.803Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,2,Maharashtra,All Vahan4 Running Office,NON_EV,DIESEL/HYBRID,ALL,ALL,ALL,ALL,1,2026-06-02T16:29:55.803Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,2,Maharashtra,All Vahan4 Running Office,NON_EV,DUAL DIESEL/CNG,ALL,ALL,ALL,ALL,0,2026-06-02T16:29:55.803Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,2,Maharashtra,All Vahan4 Running Office,EV,ELECTRIC(BOV),ALL,ALL,ALL,ALL,8196,2026-06-02T16:29:55.803Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,2,Maharashtra,All Vahan4 Running Office,NON_EV,LNG,ALL,ALL,ALL,ALL,0,2026-06-02T16:29:55.803Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,2,Maharashtra,All Vahan4 Running Office,NON_EV,LPG ONLY,ALL,ALL,ALL,ALL,154,2026-06-02T16:29:55.803Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,2,Maharashtra,All Vahan4 Running Office,NON_EV,NOT APPLICABLE,ALL,ALL,ALL,ALL,1482,2026-06-02T16:29:55.803Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,2,Maharashtra,All Vahan4 Running Office,NON_EV,PETROL,ALL,ALL,ALL,ALL,124472,2026-06-02T16:29:55.803Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,2,Maharashtra,All Vahan4 Running Office,NON_EV,PETROL(E20)/CNG,ALL,ALL,ALL,ALL,0,2026-06-02T16:29:55.803Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,2,Maharashtra,All Vahan4 Running Office,NON_EV,PETROL(E20)/HYBRID/CNG,ALL,ALL,ALL,ALL,0,2026-06-02T16:29:55.803Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
